#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
48.75,54.97,49.25,29.19,29.87,30.43,47.85,30.59
48.35,54.43,48.87,29.19,29.93,30.45,47.63,30.59
47.77,53.91,48.53,29.19,29.91,30.45,47.23,30.57
47.29,52.93,48.43,29.19,29.91,30.43,47.05,30.59
46.71,52.19,48.31,29.19,29.91,30.43,46.91,30.59
46.45,51.99,48.11,29.21,29.91,30.43,46.37,30.59
46.13,51.55,47.61,29.21,29.93,30.45,46.15,30.61
45.71,51.15,47.19,29.19,29.91,30.45,45.89,30.57
45.53,50.81,46.73,29.23,29.97,30.47,45.47,30.59
45.07,50.41,46.61,29.23,29.91,30.49,45.23,30.57
44.81,50.07,46.19,29.23,29.93,30.45,44.85,30.59
44.61,49.79,46.01,29.21,29.93,30.43,44.85,30.57
44.49,49.13,45.53,29.25,29.97,30.49,44.39,30.59
44.19,48.99,45.47,29.23,29.93,30.45,44.21,30.59
43.61,48.27,45.23,29.23,30.01,30.47,43.71,30.59
43.23,47.89,45.25,29.21,29.99,30.45,43.47,30.57
43.17,47.45,45.05,29.21,29.97,30.43,43.09,30.55
42.83,47.05,44.85,29.25,29.93,30.43,42.87,30.59
42.59,46.71,44.49,29.27,29.97,30.47,42.45,30.53
42.29,46.37,44.03,29.25,29.93,30.43,42.15,30.59
42.19,46.11,43.99,29.25,29.97,30.45,41.95,30.55
41.81,45.83,43.63,29.23,29.93,30.43,41.93,30.55
41.71,45.69,43.33,29.25,29.93,30.45,41.53,30.55
41.29,45.27,43.23,29.27,29.93,30.43,41.35,30.55
41.29,45.23,42.97,29.25,29.93,30.43,41.15,30.55
40.99,44.61,42.67,29.25,29.97,30.45,40.89,30.57
40.79,44.53,42.71,29.21,29.93,30.41,40.75,30.53
40.81,44.25,42.33,29.23,29.97,30.41,40.55,30.51
40.53,43.99,42.13,29.25,29.93,30.43,40.29,30.53
40.27,43.67,41.95,29.25,29.99,30.43,40.07,30.53
40.07,43.49,41.45,29.25,29.99,30.45,39.77,30.51
39.71,43.21,41.25,29.27,29.97,30.43,39.55,30.53
39.71,43.13,41.31,29.25,29.97,30.45,39.31,30.51
39.41,42.93,40.85,29.25,29.97,30.43,39.31,30.51
